stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station
"de:09184:2168:3:3-Hst","Haar, Ludwig-Moser-Straße","48.10958335","11.71976256","","de:09184:2168"
"de:09184:2169","Haar, H.-Stießb.-Str.(Schl.)","48.10961934","11.71687897","1",""
"de:09184:2169:1:1-Hst","Haar, H.-Stießb.-Str.(Schl.)","48.10961934","11.71687897","","de:09184:2169"
"de:09184:2170","Haar, H.-Stießb.-Str. (Schl.)","48.11068699","11.71576506","1",""
"de:09184:2170:1:1-Hst","Haar, H.-Stießb.-Str. (Schl.)","48.11089692","11.71511827","","de:09184:2170"
"de:09184:2170:2:2-Hst","Haar, H.-Stießb.-Str. (Schl.)","48.11033911","11.71693286","","de:09184:2170"
"de:09184:2172","Putzbrunn, M.-Haslbeck-Straße","48.07720128","11.71996019","1",""
"de:09184:2172:4:4-Hst","Putzbrunn, M.-Haslbeck-Straße","48.07720728","11.71996019","","de:09184:2172"
"de:09184:2174","Putzbrunn, Wernh.-v-Braun-Str.","48.07436831","11.72018477","1",""
"de:09184:2174:3:1-Hst","Putzbrunn, Wernh.-v-Braun-Str.","48.07421225","11.72031951","","de:09184:2174"
"de:09184:2174:3:2-Hst","Putzbrunn, Wernh.-v-Braun-Str.","48.07446434","11.72007697","","de:09184:2174"
"de:09184:2176","Putzbrunn, Kirchenzentrum","48.07607291","11.71563031","1",""
"de:09184:2176:1:1-Hst","Putzbrunn, Kirchenzentrum","48.07613893","11.71569319","","de:09184:2176"
"de:09184:2176:2:2-Hst","Putzbrunn, Kirchenzentrum","48.07591686","11.71556743","","de:09184:2176"
"de:09184:2194","Haar, Wieselweg","48.10742998","11.71999612","1",""
"de:09184:2194:1:1-Hst","Haar, Wieselweg","48.10742398","11.71984341","","de:09184:2194"
"de:09184:2265","Putzbrunn, Seemannsiedlung","48.08176853","11.69326226","1",""
"de:09184:2265:1:1-Hst","Putzbrunn, Seemannsiedlung","48.08178053","11.69274123","","de:09184:2265"
"de:09184:2265:2:2-Hst","Putzbrunn, Seemannsiedlung","48.08178053","11.69372040","","de:09184:2265"
"de:09184:2277","Neubiberg, Am Hachinger Bach","48.08395898","11.62482860","1",""
"de:09184:2277:1:1-Hst","Neubiberg, Am Hachinger Bach","48.08409100","11.62564607","","de:09184:2277"
"de:09184:2277:2:2-Hst","Neubiberg, Am Hachinger Bach","48.08373694","11.62442436","","de:09184:2277"
"de:09184:2287","Putzbrunn, Brennerei","48.07720728","11.71186637","1",""
"de:09184:2287:2:2-Hst","Putzbrunn, Brennerei","48.07751938","11.71143518","","de:09184:2287"
"de:09184:2287:5:5-Hst","Putzbrunn, Brennerei","48.07741135","11.71121958","","de:09184:2287"
"de:09184:2288","Putzbrunn, Waldkolonie","48.07987806","11.70187710","1",""
"de:09184:2288:1:1-Hst","Putzbrunn, Waldkolonie","48.07978204","11.70189507","","de:09184:2288"
"de:09184:2288:2:2-Hst","Putzbrunn, Waldkolonie","48.07996808","11.70187710","","de:09184:2288"
"de:09184:2292","Neubiberg, Marktpl. Unterbiberg","48.08265072","11.62813440","1",""
"de:09184:2292:1:1-Hst","Neubiberg, Marktpl. Unterbiberg","48.08261471","11.62829610","","de:09184:2292"
"de:09184:2292:1:2-Hst","Neubiberg, Marktpl. Unterbiberg","48.08262071","11.62786490","","de:09184:2292"
"de:09184:2294","Neubiberg, Universitätsstraße","48.08265672","11.63285055","1",""
"de:09184:2294:1:1-Hst","Neubiberg, Universitätsstraße","48.08248268","11.63274276","","de:09184:2294"
"de:09184:2294:1:2-Hst","Neubiberg, Universitätsstraße","48.08274674","11.63295835","","de:09184:2294"
"de:09184:2296","Neubiberg, Lilienthalstraße","48.08280675","11.63834824","1",""
"de:09184:2296:1:1-Hst","Neubiberg, Lilienthalstraße","48.08290877","11.63806977","","de:09184:2296"
"de:09184:2296:1:2-Hst","Neubiberg, Lilienthalstraße","48.08269873","11.63868960","","de:09184:2296"
"de:09184:2297","Neubiberg, Campeon West","48.07971002","11.61159641","1",""
"de:09184:2297:1:1-Hst","Neubiberg, Campeon West","48.07971002","11.61159641","","de:09184:2297"
"de:09184:2298","Neubiberg, Universität Bw-Ost","48.08186455","11.64684631","1",""
"de:09184:2298:1:1-Hst","Neubiberg, Universität Bw-Ost","48.08197857","11.64653190","","de:09184:2298"
"de:09184:2298:1:2-Hst","Neubiberg, Universität Bw-Ost","48.08176253","11.64702597","","de:09184:2298"
"de:09184:2299","Neubiberg, Campeon","48.08142645","11.61738157","1",""
"de:09184:2299:1:1-Hst","Neubiberg, Campeon","48.08142645","11.61738157","","de:09184:2299"
"de:09184:2359","Haar, Jagdfeldzentrum","48.10757394","11.72203530","1",""
